int	string	string	string	int	DTItemNum[]	int
编号	发件人	名称	描述	头像	普通奖励	期待奖励
id	zh_cn_from	zh_cn_name	zh_cn_description	icon	reward	expect
1001	周边店店主	偿还借款	因贵公司等级达到[level]，我们决定优先偿还贵公司的欠款	1001	1:5	10
1002	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	2:6	20
1003	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:7	10
1004	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:8	20
1005	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:9	10
1006	周边店店主	偿还借款	因贵公司等级达到[level]，我们决定优先偿还贵公司的欠款	1001	1:10	20
1007	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:11	10
1008	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:12	10
1009	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:13	20
1010	周边店店主	偿还借款	因贵公司等级达到[level]，我们决定优先偿还贵公司的欠款	1001	2:14	10
1011	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:15	20
1012	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:16	10
1013	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:17	20
1014	周边店店主	偿还借款	因贵公司等级达到[level]，我们决定优先偿还贵公司的欠款	1001	1:18	10
1015	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:19	10
1016	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:20	20
1017	周边店店主	偿还借款	因贵公司等级达到[level]，我们决定优先偿还贵公司的欠款	1001	1:21	10
1018	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:22	20
1019	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:23	10
1020	周边店店主	偿还借款	因贵公司粉丝数达到[fans]，我们决定优先偿还贵公司的欠款	1001	1:24	20
