int	string	string	int	int	int	DTItemNum[]	DTItemNum[]	int
编号	一级名称	二级名称	头像	街区	品质1=白色2=蓝色3=金色4=紫色	需求	奖励	额外奖励
id	zh_cn_name1	zh_cn_name2	icon	block	quality	need	reward	expect
1001	周边换购	学校开放日的申请	1001	1	1	1:5;2:3	1:5;2:3	20
1002	周边换购	学校开放日的申请	1001	1	2	1:5;2:3	1:5;2:3	20
1003	周边换购	学校开放日的申请	1001	1	3	1:5;2:3	1:5;2:3	10
1004	周边换购	学校开放日的申请	1001	1	4	1:5;2:3	1:5;2:3	20
1005	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	20
1006	周边换购	学校开放日的申请	1001	2	2	1:5;2:3	1:5;2:3	20
1007	周边换购	学校开放日的申请	1001	2	4	1:5;2:3	1:5;2:3	20
1008	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	20
1009	周边换购	学校开放日的申请	1001	2	2	1:5;2:3	1:5;2:3	20
1010	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	20
1011	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1012	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1013	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1014	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1015	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1016	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1017	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1018	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1019	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
1020	周边换购	学校开放日的申请	1001	2	1	1:5;2:3	1:5;2:3	30
